,Text,Class
10,since ofgem has set a price cap on energy bills which maximum price that suppliers can charge customers per unit of gas electricity it applies to households on variable default tariffs in england wales scotland after price cap soared government stepped in with energy price guarantee which limited annual bills to � but that has since ended now cap � last week chancellor jeremy hunt met with several regulators including ofgem told them they needed to work at pace to ensure businesses reflected any falling costs in prices they charged customers mr brearley said firms needed to play their part by making sure theyre financially robust in order to absorb potential losses he said while he was observing some good practice regulator was also finding evidence that some suppliers may have breached pricing rules we investigating further will take action if we find abuse mr brearley warned,Business
11,electric carmaker tesla says it delivered a record number of vehicles in three months to end of june after cutting prices to boost sales it has lowered prices in markets including us uk china to compete with rival manufacturers this weekend major chinese car makers also reported a surge in sales in june earlier this year tesla boss elon musk said he believed pursuing higher sales with lower profits was right choice for company on sunday tesla said it delivered vehicles in second quarter which was more than higher than a year earlier meanwhile company said it had increased vehicle production to nearly in same period tesla has made a strategic choice to be a volume manufacturer bill russo founder chief executive of advisory firm automobility told bbc this was main contributor to sales increase as its mainly highervolume model model y benefitted from price war he added dan ives from investment firm wedbush securities told bbc that price cuts in china have been a smart poker move that was massively successful for tesla china teslas second largest market after north america firm been cutting prices in worlds second largest economy where it faces competition from local electric car makers over weekend beijing based liauto said its deliveries had hit an alltime high of in june marking its third consecutive monthly sales record meanwhile deliveries by shanghaibased nio guangzhoubased xpeng jumped to respectively during month,Business
12,technology giant amazon has started laying off staff according to linkedin posts by workers who say they have been impacted by job cuts this week it was reported that company planning to cut jobs around of its office staff amazon did not immediately respond to a bbc request for comment it comes as thousands of jobs being shed across technology industry as firms see sales slow amid growing concerns about an economic downturn posts seen by bbc include those from employees in amazons alexa virtual assistant business luna cloud gaming platform division lab operation behind kindle ereader one employee who said that she worked as a software development engineer in us posted that she was looking for a new job due to nature of my visa i have a limited time to lookout for new work opportunities another amazon worker who said they had been impacted by layoffs said of course i am saddened yet optimistic about future because i know this means good change for me others on my team,Business
13,company had already introduced a hiring freeze halted some of its warehouse expansions warning it had overhired during pandemic it had also taken steps to shut some parts of its business cancelling projects such as a personal delivery robot last month amazons founder chairman jeff bezos warned that us economy was sending a signal to batten down hatches amazons share price has fallen by more than this year as it grapples with a slowdown in online sales other major technology companies have already announced major layoffs as they cut costs last week meta which owns facebook instagram whatsapp announced that it would cut of its workforce first mass layoffs in firms history will result in employees losing their jobs shortly after elon musk took over twitter it was confirmed that he would cut social media platforms headcount by around in recent weeks technology giant microsoft payment processing platform stripe cloudbased business software firm salesforce have also announced layoffs,Business
14,uk based food delivery app deliveroo says it quitting australia citing tough economic conditions companys australian operation which launched in being placed into voluntary administration deliveroo has come under increasing pressure to treat its riders as employees with countrys new government pledging to improve gig workers conditions it has also faced competition from rivals such as uber eats menulog deliveroo said it had stopped accepting orders through its app with customers receiving an error message if they tried to place an order this was a difficult decision not one we have taken lightly we want to thank all our employees consumers riders restaurant grocery partners who have been involved with australian operations over past seven years deliveroos chief operating officer eric french said in a statement to investors our focus now on making sure our employees riders partners supported throughout this process he added in statement company pledged guaranteed enhanced severance payments for employees as well as compensation for riders for certain restaurant partners skip twitter post by deliveroo au allow twitter content,Business
15,uk economy shrank between july september as country heads into what expected to be longest recession on record economy contracted by during three months as soaring prices hit businesses households a country in recession when its economy shrinks for two threemonth periods in a row uk expected to be in one by end of year bank of england has forecast a very challenging twoyear recession a recession has been widely expected in uk due to prices of goods such as food fuel energy soaring which down to several factors including war in ukraine higher prices for goods has led to many households facing hardship cutting back on spending which has started to drag on economy,Business
16,when a country in recession its a sign that its economy doing badly during recessions companies typically make less money number of people unemployed rises graduates school leavers also find it harder to get their first job this means government receives less money in tax to use on public services such as health education bank of england expects uk recession to be longest since records began in s said unemployment will almost double chancellor jeremy hunt said he would try to make any recession shallower quicker than predicted but he has warned of eyewatering decisions needed on public spending taxation to restore confidence economic stability mr hunt said he was under no illusion that there a tough road ahead he set to unveil his tax spending plans next week in autumn statement which comes as households being squeezed by worst costofliving crisis since 1950,Business
17,share prices have risen as investors welcomed official figures that show cost of living in us increased at a slowerthanexpected pace last month shares soared in us in asia as traders reacted to data uk european stock markets also rose on friday morning us consumer price index rose by in october from a year earlier according to labor department that smallest annual increase since start of year figure which down from previous month means us central bank may ease its aggressive approach to raising interest rates to tackle inflation on friday hong kongs hang seng index jumped by while nikkei in japan ended day higher south koreas kospi gained hang seng was also boosted after chinese state media reported that covid travel measures will be eased that came after benchmark sp index in new york rose by more than while dow jones industrial average gained at same time technologyheavy nasdaq soared by shares in us technology companies saw some of strongest gains with amazon up by over while apple microsoft rose more than european share prices edged higher on friday too although they didnt match large gains seen in us asia in london ftse index was up by in early trading after official figures showed uk appears to be heading into recession economy contracted by between july september according to office for national statistics,Business
18,meanwhile us dollar which has jumped in value this year weakened against major currencies including pound yen earlier this month us federal reserve raised its key interest rate to a fresh year high move took central banks benchmark lending rate to highest since january also this month bank of england lifted interest rates to from biggest jump since warned that uk facing its longest recession since records began,Business
19,"WorldCom trial starts in New York The trial of Bernie Ebbers, former chief executive of bankrupt US phone company WorldCom, has started in New York with the selection of the jury. Mr Ebbers, 63, is accused of being the mastermind behind an $11bn (£6bn) accounting fraud that eventually saw the firm collapse in July 2002. His indictment includes charges of securities fraud, conspiracy and filing false reports with regulators. If found guilty, Mr Ebbers could face a substantial jail sentence. He has firmly declared his innocence.

Under Mr Ebbers' leadership, WorldCom emerged from Mississippi obscurity to become a $160bn telecoms giant and the darling of late 1990s investors. Yet as competition intensified and the telecoms boom petered out, WorldCom found itself under growing financial stress. When WorldCom finally collapsed, shareholders lost about $180bn and 20,000 workers lost their jobs. Mr Ebbers' trial, which is expected to last two months, is the latest in a series of attempts by US prosecutors to pursue senior executives for fraud. It will coincide with the retrial of former Tyco International chief Dennis Kozlowski and his top lieutenant, accused of looting the industrial conglomerate to the tune of $600m. Trail preparations are also preparing for former executives of shamed US energy firm Enron.
",Business
20,"Tsunami slows Sri Lanka's growth

Sri Lanka's president has launched a reconstruction drive worth $3.5bn (£1.8bn) by appealing for peace and national unity.

President Kumaratunga said it was now important to find a peaceful solution to years of internal conflict. Meanwhile, the International Monetary Fund (IMF) said damage from the tsunami would cut one percentage point from Sri Lanka's economic growth this year. It estimated the wave left physical damage equal to 6.5% of the economy.

Separately, the International Labour Organisation (ILO) said that at least one million people have lost their livelihoods in Sri Lanka and Indonesia alone. It called for action to create jobs. President Kumaratunga attended a ceremony in the southern town of Hambantota. She was joined by government and opposition politicians, together with Buddhist, Hindu, Muslim and Christian clergy.

Prime Minister Mahinda Rajapakse laid the foundation stone on a new housing project intended to provide 6,000 homes for survivors of the tsunami. Mrs Kumaratunga called for the tragedy to be ""the start of a new beginning to rebuild our nation"". ""We are a country blessed with so many natural resources and we have not made use of them fully. Instead we have been squabbling, fighting,"" she added. Norway's peace negotiator Erik Solheim is due to arrive on Wednesday to try to revive peace talks in the decades-long conflict between government forces and the Tamil Tigers, who want a separate state in the north east of the country. Reconstruction efforts in eastern Sri Lanka have been hampered by tensions between the two sides.

The IMF said that the Sri Lankan authorities' initial estimates have put the physical damage at $1.3 to $1.5bn, but added that the implications for the economy were much wider than this. ""The broader macroeconomic impact will clearly be substantial but the details are difficult to assess at this early stage,"" the IMF said. Growth, inflation, the balance of payments and foreign exchange reserves are all expected to show the effects of lost businesses and reconstruction costs. ""The fishing industry has been devastated, agricultural production may be affected and tourism will suffer, especially in the short term,"" the report said. The ILO estimated that 400,000 Sri Lankans have lost their jobs, mostly in these three industries. Earnings from tourism this year are expected to be 15% lower than last year. Economic growth this year is expected to be 4%, which is about 1% less than previously forecast. Inflation could climb to 14% compared to a previous estimate of 12%. Although major exports have not suffered, the IMF expects the reconstruction effort will require higher imports which could damage the balance of payments. Foreign exchange reserves may become strained as ""Sri Lanka will be hard pressed to keep international reserves at the pre-tsunami level"" which totalled more than two months worth of imports. Last week, the IMF approved Sri Lanka's request for a freeze on loan repayments.
",Business
21,"Christmas shoppers flock to tills

Shops all over the UK reported strong sales on the last Saturday before Christmas with some claiming record-breaking numbers of festive shoppers.

A spokesman for Manchester's Trafford Centre said it was ""the biggest Christmas to date"" with sales up 5%. And the Regent Street Association said shops in central London were also expecting the ""best Christmas ever"". That picture comes despite reports of disappointing festive sales in the last couple of weeks.

The Trafford Centre spokeswoman said about 8,500 thousand vehicles had arrived at the centre on Saturday before 1130 GMT. ""We predict that the next week will continue the same trend,"" she added.

It was a similar story at Bluewater in Kent. Spokesman Alan Jones said he expected 150,000 shoppers to have visited by the end of Saturday and a further 100,000 on Sunday. ""Our sales so far have been 2% up on the same time last year,"" he said. ""We're very busy, it's really strong and people will be shopping right up until Christmas. ""Over the Christmas period we're expecting people to spend in excess of £200m at the centre.""

On Saturday afternoon, a spokeswoman for the St David's Shopping Centre in Cardiff said it looked like being its busiest day of the year with about 200,000 shoppers expected to have visited by the close of play. At the St Enoch's Shopping Centre in Glasgow, more than 140,000 shoppers - an all-time record - were expected to have passed through the doors by its closing time of 1900 GMT. Senior business manager Jon Walton said: ""It has been phenomenal - absolutely mobbed. ""Every week footfall has been showing strong growth and at the weekends it has been going mad."" Regent Street Association director Annie Walker said on Saturday: ""The stores were heaving today and a lot of people are going to be doing last minute shopping as many people finished work on Friday and can go in the week.""

She said reports of a slump in pre-Christmas sales were related to the growing popularity of internet sales. ""I do think this has had a lot to do with reports of lower sales figures,"" she said. ""Internet shopping has gone up enormously and not all stores have websites.""
",Business
22,"Iraq to invite phone licence bids

Iraq is to invite bids for two telephone licences, saying it wants to significantly boost nationwide coverage over the next decade.

Bids have been invited from local, Arab and foreign companies, Iraq's Ministry of Communications said. The winner will work in partnership with the Iraqi Telecommunications and Post Company (ITPC). The firms will install and operate a fixed phone network, providing voice, fax and internet services.

The ministry said that it wanted to increase Iraq's ""very low telephone service penetration rate from about 4.5% today to about 25% within 10 years."" It also hopes to develop a ""highly visible and changeable telecommunication sector"". Details of the bidding and tender process will be published on the ministry's website on 9 February. It also is planning a road-show for investors in Amman, Jordan. The ministry said it would base its selection on criteria including the speed of implementation, tariff rates, coverage, and the firm's experience and financial strength.
",Business
23,"Australia rates at four year high

Australia is raising its benchmark interest rate to its highest level in four years despite signs of a slowdown in the country's economy.

The Reserve Bank of Australia lifted interest rates 0.25% to 5.5%, their first upwards move in more than a year. However, shortly after the Bank made its decision, new figures showed a fall in economic growth in the last quarter. The Bank said it had acted to curb inflation but the move was criticised by some analysts.

The rate hike was the first since December 2003 and had been well-flagged in advance. However, opposition parties and some analysts said the move was ill-timed given data showing the Australian economy grew just 0.1% between October and December and 1.5% on an annual basis.

The figures, representing a decline from the 0.2% growth in GDP seen between July and September, were below market expectations. Consumer spending remains strong, however, and the Bank is concerned about growing inflationary pressures. ""Over recent months it has become increasingly clear that remaining spare capacity in the labour and goods markets is becoming rather limited,"" said Ian Macfarlane, Governor of the Reserve Bank.

At 2.6%, inflation remains within the Bank's 2-3% target range. However, exports declined in the second half of 2004, fuelling a rise in the country's current account deficit - the difference in the value of imports compared to exports - to a record Australian dollar 29.4bn. The Australian government said the economy remained strong with unemployment at a near 30 year low. ""The economy has been strong and it is properly moderating but it doesn't look to me like it's slowing in any unreasonable way,"" said Treasurer Peter Costello. Stock markets had factored in the likelihood of a rate rise but analysts still expressed concern about the strength of the economy. ""That 1.5% annual growth rate is the lowest we have seen since the post-election slump we saw back in 2000-1,"" said Michael Blythe, chief economist at the Commonwealth Bank of Australia. ""This suggests the economy really did slow very sharply in the second half of 2004.""
",Business
24,"Glaxo aims high after profit fall

GlaxoSmithKline saw its profits fall 9% last year to £6.2bn ($11.5bn), but Europe's biggest drugmaker says a recovery during 2005 is on the way.

Cheap copies of its drugs, particularly anti-depressants Paxil and Wellbutrin, and a weak dollar had hit profits, but global sales were up 1% in 2004. The firm is confident its new drug pipeline will deliver profits despite the failure of an obesity drug. Chief executive Jean-Pierre Garnier said it had been a ""difficult year"".

In early afternoon trade in London the company share price was down 1% at 1218 pence. Mr Garnier said the company had absorbed over £1.5bn of lost sales to generics but still managing to grow the business. ""The continuing success of our key products means we can now look forward to a good performance in 2005,"" he said. ""2005 will also be an important year in terms of research and development pipeline progress."" However, the firm discontinued development of an experimental treatment for obesity, known as '771, after disappointing clinical trial results. Glaxo is relying on new treatments for conditions such as cancer, diabetes, depression, HIV/AIDS and allergies to lift the pace of sales growth after several disappointing years.
",Business
25,"BMW cash to fuel Mini production

Less than four years after the new Mini was launched, German car maker BMW has announced £100m of new investment.

Some 200 new jobs are to be created at the Oxford factory, including modernised machinery and a new body shell production building. The result of the investment could be to raise output to more than 200,000 cars from 2007. The rise, from 189,000 last year, is a response to rapidly-rising demand and could help wipe out waiting lists. Before Wednesday's announcement, BMW had invested some £280m in Mini production.

Since its launch during summer 2001, the new Mini has gone from strength to strength.

Last year, almost one in six cars sold by the BMW group was a Mini. The company admits that the success of the brand came despite scepticism from many in the industry. ""Our decision to produce a new Mini was not received well right away,"" said Norbert Reithofer, a member of the BMW management board. Initially, BMW said it would produce 100,000 Mini models a year at its vast Cowley factory on the outskirts of Oxford, but the target was quickly reached, then raised, time and time again. Not everyone is convinced that the boom can continue. ""The risk is that after they've invested massively in the brand, demand tapers off like it did with the new VW Beetle,"" said Brad Wernle, from Automotive News Europe.

The price of the car has also gone up. When it was launched, the cheapest Mini cost just more than £10,000. These days, buyers will have to fork out almost £11,500 to own a new Mini One, or even more for the Cooper S which costs up to £17,730. The Mini Convertible, which was launched last spring, costs up to £15,690 for the top model, and there is even a waiting list. Second-hand Minis are not cheap either. A Mini One bought when the model was launched should still fetch at least £8,000 for the cheapest model, while a used Cooper S is likely to be priced from £12,556, according to the-car buying website Parker's. The consumers' association Which operates with slightly different numbers, yet it confirms that the Mini Cooper 1.6 depreciates slower than any other car, other than the Mercedes Benz C180 SE and the BMW 1 Series 116i SE.

The Cowley factory, which initially seemed far too large a production plant for just 100,000 Minis, is increasingly being put to good use.

There are plans to tear down old buildings and build new ones and there are rumours that a new paint shop could be included in the plans. BMW's Mini adventure has made good much of what went wrong during its stewardship of the UK car maker Rover which it sold for £10 five years ago to the Phoenix consortium. In 1999, when BMW still owned Rover, the Oxford factory was producing the award-winning Rover 75. During that year, 3,500 people produced 56,000 cars. Last year, in the same factory, almost four times as many vehicles were produced by just 4,500 Mini-workers. The Mini factory's current output is equally impressive when compared with the main Rover factory in Longbridge, which in 1999 produced 180,000 Rover cars. Last year, MG Rover, which employs more than 6,000 people, produced just 110,000 cars, though it hopes to land a deal with Shanghai Automotive Industry Corporation (SAIC) that could help double the number of cars produced at Longbridge. Indeed, Mini is not only producing more cars than MG Rover does; it remains ahead even when the current sales of Land Rovers and Range Rovers (which are made by the former Rover unit that BMW sold to Ford) are taken into account.
",Business
26,"EU ministers to mull jet fuel tax

European Union finance ministers are meeting on Thursday in Brussels, where they are to discuss a controversial jet fuel tax.

A levy on jet fuel has been suggested as a way to raise funds to finance aid for the world's poorest nations. Airlines and aviation bodies have reacted strongly against the plans, saying they would hurt companies at a time when earnings are under pressure. The EU said a tax would only be passed after full consultation with airlines. It was keen to point out earlier this week that any new tax on jet fuel should not hurt the ""competitiveness of the airlines"". Ministers will also be discussing reforms to regulations governing European public spending.

Global leaders have focused attention on poverty reduction and development at recent meetings of the G7 Group and World Economic Forum. The world's richest countries have said they want to boost the amount of aid they give to 0.7% of their annual gross national income by 2015. Many EU ministers are thought to support the plan to tax jet fuel - tabled by France and Germany following the recent G7 meeting. At present, the fuel used by airlines enjoys either a very low tax rate or is untaxed in EU member states.
",Business
27,"Further rise in UK jobless total

The UK's jobless total rose for the second month in a row in December, official figures show.

The number of people out of work rose 32,000 to 1.41 million in the last three months of 2004, even as 90,000 more people were in employment. Average earnings rose by 4.3% in the year to December up from November's 4.2%, the Office for National Statistics (ONS) added. Meanwhile, the benefit claimant total fell 11,000 to 813,200 last month. Throughout 2004, the number of people in work increased by 296,000 to 28.52 million - the highest figure since records began in 1971.

The apparent discrepancy between rising unemployment and record numbers in work can be explained by an increase in the working population and a fall in those who are economically inactive. While the UK's jobless rate rose to 4.7% from 4.6% in the previous quarter, the rate still remains one of the lowest in the world, compared with 12.1% in Germany, 10.4% in Spain and 9.7% in France. But, despite more people being in work, the manufacturing sector continued to suffer, with 104,000 workers axed during the last quarter of 2004 - pushing employment in the sector to a record low of 3.24 million by the end of last year. The figures prompted some analysts to forecast that the Bank of England will almost certainly raise rates this year. Marc Ostwald, a strategist at Monument Securities told Reuters that while no immediate market impact could be expected, ""it is enough to underline that they (the BoE) will be more hawkish on rates"".
",Business
28,"Turkey turns on the economic charm

Three years after a gruelling economic crisis, Turkey has dressed its economy to impress.

As part of a charm offensive - ahead of 17 December, when the European Union will decide whether to start entry talks - Turkey's economic leaders have been banging the drum to draw attention to recent achievements. The economy is growing fast, they insist. Education levels among its young and large population are rising. Unemployment levels, in percentage terms, are heading fast towards single digits. Inflation is under control. A new law to govern its turbulent banking system is on the cards. The tourism industry is booming and revenues from visitors should more than double to $21bn (£10.8bn) in three years.

Moreover, government spending is set to be frozen and a burdensome social security deficit is being tackled. Income and corporate taxes will be cut next year in order to attract $15bn of foreign investment over the next three years. A loan restructuring deal with the International Monetary Fund (IMF) is pretty much in the can. And following recent macroeconomic restructuring efforts, its currency is floating freely and its central bank is independent.

The point of all this has been to convince Europe's decision makers that rather than being a phenomenally costly exercise for the EU, allowing Turkey in would in fact bring masses of economic benefits.

""The cake will be bigger for everybody,"" said Deputy Prime Minister Abdullatif Sener earlier this month. ""Turkey will not be a burden for the EU budget."" If admitted into the EU, Turkey would contribute almost 6bn euros ($8bn; £6bn) to its budget by 2014, according to a recent impact study by the country's State Planning Organisation. As Turkey's gross domestic output (GDP) is set to grow by 6% per year on average, its contribution would rise from less than 5bn euros in 2014 to almost 9bn euros by 2020. Turkey could also help alleviate a labour shortage in ""Old Europe"" once its population comes of age. By 2014, one in four Turks - or about 18 million people - will be aged 14 or less. ""A literate and qualified Turkish population,"" insisted Mr Sener, ""will make a positive impact on the EU.""

This runs contrary to the popular view that Turkey is getting ready to dig deep into EU taxpayers' wallets. However, Turkey's assertions are confirmed by Brussels' own impact studies, which indeed say that Turkish membership would be good news for the EU economy. But only over time. Costs are projected to be vast during the early years of Turkey's membership, with subsidies alone estimated to exceed 16.5bn euros and, according to some predictions, balloon to 33.5bn euros. This would include vast agricultural subsidies and regional aid, though such payments should decline as the country's farm sector, which currently employs one in three Turks, would employ just one in five by 2020.

Such high initial expenses would be coupled with risks that the benefits flagged up by Turkey's government would never be delivered, say those who feel the Turkish project should be shunned.

Some fear that rather than providing an educated, sophisticated labour force for Europe at large, the people who will leave Turkey to seek work abroad will be poor, uneducated - and plentiful. More recently, less palatable concerns - at least in liberal European circles - have been voiced, with senior EU or member state officials talking darkly of a ""river of Islam"", an ""oriental"" culture and a threat to Europe's ""cultural richness"". Of course, many opponents are politically motivated - their views ranging from xenophobic prejudices about the country's Muslim traditions to well-documented concerns about the government's human rights record. Yet their economic arguments should not be dismissed out of hand.

Critics insist that much of the optimism about Turkey's economic roadmap has been over-egged - an argument amplified by a 134% rise in the country's current account deficit to $10.7bn during the first 10 months of this year.

The country's massive debt - which includes $23bn owed to the IMF and billions borrowed via the international bond markets - also remains a major obstacle to its ambition of joining the EU. ""In the new member states of the European Union, gross public debt is typically about 40% of gross domestic product,"" says Reza Moghadam, assistant director of the IMF's European Department. ""At about 80% of GDP, Turkey's gross debt is double that figure."" Turkey's debts have largely arisen from its efforts to push through banking reform after a run on the banks in 2001 caused the country's devastating recession. ""There is no question that although Turkey is doing much better than in the past, it remains quite vulnerable,"" says Michael Deppler, director of the IMF's European Department. ""Its debt is far too high for an emerging economy."" A key factor for EU decision makers should be whether or not Turkey has met its economic criteria. But economics is not a science. And although the state of Turkey's economy is important, as is its pace of reform, the final decision on 17 December will be taken by politicians who will, of course, be guided by their political instincts.
",Business
29,"China now top trader with Japan

China overtook the US to become Japan's biggest trading partner in 2004, according to numbers released by Japan's Finance Ministry on Wednesday.

China accounted for 20.1% of Japan's trade in 2004, compared with 18.6% for the US. In 2003, the US was ahead with 20.5% and China came second with 19.2%. The change highlights China's growing importance as an economic powerhouse. In 2004, Japan's imports from and exports to China (and Hong Kong) added up to 22,201bn yen ($214.6bn;£114.5bn). This is the highest figure for Japanese trade with China since records began in 1947. It compares with 20,479.5bn yen in trade with the US.

Trade with the US during 2004 was hurt by one-off factors, including a 13-month ban on US beef imports following the discovery of a cow infected with mad cow disease (BSE) in the US. However, economists predict China will become an even more important Japanese trading partner in the coming years. On Tuesday, figures showed China's economy grew by 9.5% in 2004 and experts say the overall growth picture remains strong. Analysts see two spurs to future growth as being China's membership of the World Trade Organisation and lower trade tariffs. During 2004, Japan's trade surplus grew 17.9% to 12.011 trillion yen, with more than half the surplus, 6.962 trillion yen, accounted for by its trade with the US. In December, the surplus grew 1.8% on a year ago to 1.14 trillion yen thanks to stronger-than-expected exports.
",Business
